,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
448,ROOFTOP,"209 E 48th St, New York, NY 10017, USA",ChIJR6bXteJYwokRzZz0fTlPHKs,"209 EAST 48TH STREET, Midtown East, Manhattan, NY, USA",40.7544899,-73.97089199999999,1,10017,OK,street_address
449,ROOFTOP,"413 E 50th St, New York, NY 10022, USA",ChIJ79CWH-JYwokRexwH6G3jdU8,"413 EAST 50TH STREET, Midtown East, Manhattan, NY, USA",40.7537862,-73.96550069999999,1,10022,OK,premise
450,ROOFTOP,"331 E 50th St, New York, NY 10022, USA",ChIJF3YgROJYwokRYuXyvNOKCDQ,"331 EAST 50TH STREET, Midtown East, Manhattan, NY, USA",40.75452430000001,-73.9671802,1,10022,OK,premise
451,ROOFTOP,"323 E 51st St, New York, NY 10022, USA",ChIJjSTXSuJYwokRQt1agn5yRJI,"323 EAST 51ST STREET, Midtown East, Manhattan, NY, USA",40.75529299999999,-73.96701790000002,1,10022,OK,premise
452,ROOFTOP,"410 E 50th St, New York, NY 10022, USA",ChIJe5D3G-JYwokRQizBq0rZxdY,"410 EAST 50TH STREET, Midtown East, Manhattan, NY, USA",40.7535333,-73.9657537,1,10022,OK,premise
453,ROOFTOP,"409 E 50th St, New York, NY 10022, USA",ChIJlU5kH-JYwokRKH75Yx2xQcw,"409 EAST 50TH STREET, Midtown East, Manhattan, NY, USA",40.7538411,-73.9656155,1,10022,OK,premise
454,ROOFTOP,"222 E 56th St, New York, NY 10022, USA",ChIJM0TwauRYwokRWsy4lI0w9CI,"222 EAST 56TH STREET, Midtown East, Manhattan, NY, USA",40.7587129,-73.9668867,1,10022,OK,street_address
455,ROOFTOP,"328 E 53rd St, New York, NY 10022, USA",ChIJ9x6z3ONYwokRICPI_3hcgC8,"328 EAST 53RD STREET, Midtown East, Manhattan, NY, USA",40.7561467,-73.9660993,1,10022,OK,premise
456,ROOFTOP,"401 E 57th St, New York, NY 10022, USA",ChIJv2dDPedYwokRNDMiW9ZeHCk,"401 EAST 57TH STREET, Midtown East, Manhattan, NY, USA",40.7584227,-73.9626049,1,10022,OK,premise
457,ROOFTOP,"340 W 48th St, New York, NY 10036, USA",ChIJFW6vrVZYwokRUYMQ7sH82ks,"340 WEST 48TH STREET, Midtown West, Manhattan, NY, USA",40.7616079,-73.9888232,1,10036,OK,premise
458,ROOFTOP,"351 W 48th St, New York, NY 10036, USA",ChIJW5dytVZYwokRrkfumn6srAI,"351 WEST 48TH STREET, Midtown West, Manhattan, NY, USA",40.762015,-73.988739,1,10036,OK,street_address
459,ROOFTOP,"271 W 47th St, New York, NY 10036, USA",ChIJORJGIVRYwokR-hkqIEgJBW8,"271 WEST 47TH STREET, Midtown West, Manhattan, NY, USA",40.7604095,-73.9870518,1,10036,OK,street_address
460,ROOFTOP,"932 8th Ave, New York, NY 10019, USA",ChIJc0JOBFhYwokRTbBeYOaH9OM,"932 EIGHTH AVENUE, Midtown West, Manhattan, NY, USA",40.7654583,-73.9834735,1,10019,OK,premise
461,ROOFTOP,"88 Morningside Dr, New York, NY 10027, USA",ChIJb7DrmxX2wokR5b02WMNHsuE,"88 MORNINGSIDE DRIVE, 6D, Morningside Heights, Manhattan, NY, USA",40.8080466,-73.9584237,2,10027,OK,street_address
462,ROOFTOP,"97 Claremont Ave, New York, NY 10027, USA",ChIJzTu3h0D2wokRFZgxH7jwiaI,"97-101 CLAREMONT AVENUE, Morningside Heights, Manhattan, NY, USA",40.8119818,-73.9625779,1,10027,OK,street_address
463,ROOFTOP,"155 Lexington Ave, New York, NY 10016, USA",ChIJCQeIQAhZwokRyqZOmX2T508,"155 LEXINGTON AVENUE, Murray Hill, Manhattan, NY, USA",40.7436099,-73.9815064,1,10016,OK,premise
